event_id,campaign_id,campaign_name,campaign_type,subscriber_id,event_type,event_date
EVT000001,1,January New Year Sale,Promotional,SUB1470,Sent,2024-01-05
EVT000002,1,January New Year Sale,Promotional,SUB0258,Sent,2024-01-05
EVT000003,1,January New Year Sale,Promotional,SUB1111,Sent,2024-01-05
EVT000004,1,January New Year Sale,Promotional,SUB1111,Opened,2024-01-07
EVT000005,1,January New Year Sale,Promotional,SUB1227,Sent,2024-01-05
EVT000006,1,January New Year Sale,Promotional,SUB0649,Sent,2024-01-05
EVT000007,1,January New Year Sale,Promotional,SUB1054,Sent,2024-01-05
EVT000008,1,January New Year Sale,Promotional,SUB0537,Sent,2024-01-05
EVT000009,1,January New Year Sale,Promotional,SUB0224,Sent,2024-01-05
EVT000010,1,January New Year Sale,Promotional,SUB0555,Sent,2024-01-05
EVT000011,1,January New Year Sale,Promotional,SUB0510,Sent,2024-01-05
EVT000012,1,January New Year Sale,Promotional,SUB1048,Sent,2024-01-05
EVT000013,1,January New Year Sale,Promotional,SUB0147,Sent,2024-01-05
EVT000014,1,January New Year Sale,Promotional,SUB0614,Sent,2024-01-05
EVT000015,1,January New Year Sale,Promotional,SUB0494,Sent,2024-01-05
EVT000016,1,January New Year Sale,Promotional,SUB0494,Opened,2024-01-06
EVT000017,1,January New Year Sale,Promotional,SUB0960,Sent,2024-01-05
EVT000018,1,January New Year Sale,Promotional,SUB1007,Sent,2024-01-05
EVT000019,1,January New Year Sale,Promotional,SUB1254,Sent,2024-01-05
EVT000020,1,January New Year Sale,Promotional,SUB1254,Opened,2024-01-07
EVT000021,1,January New Year Sale,Promotional,SUB0531,Sent,2024-01-05
EVT000022,1,January New Year Sale,Promotional,SUB0531,Opened,2024-01-06
EVT000023,1,January New Year Sale,Promotional,SUB0925,Sent,2024-01-05
EVT000024,1,January New Year Sale,Promotional,SUB0151,Sent,2024-01-05
EVT000025,1,January New Year Sale,Promotional,SUB1469,Sent,2024-01-05
EVT000026,1,January New Year Sale,Promotional,SUB0162,Sent,2024-01-05
EVT000027,1,January New Year Sale,Promotional,SUB0298,Sent,2024-01-05
EVT000028,1,January New Year Sale,Promotional,SUB0298,Opened,2024-01-06
EVT000029,1,January New Year Sale,Promotional,SUB0298,Clicked,2024-01-06
EVT000030,1,January New Year Sale,Promotional,SUB0916,Sent,2024-01-05
EVT000031,1,January New Year Sale,Promotional,SUB0113,Sent,2024-01-05
EVT000032,1,January New Year Sale,Promotional,SUB0071,Sent,2024-01-05
EVT000033,1,January New Year Sale,Promotional,SUB0013,Sent,2024-01-05
EVT000034,1,January New Year Sale,Promotional,SUB0711,Sent,2024-01-05
EVT000035,1,January New Year Sale,Promotional,SUB0711,Opened,2024-01-06
EVT000036,1,January New Year Sale,Promotional,SUB0711,Clicked,2024-01-06
EVT000037,1,January New Year Sale,Promotional,SUB1148,Sent,2024-01-05
EVT000038,1,January New Year Sale,Promotional,SUB0626,Sent,2024-01-05
EVT000039,1,January New Year Sale,Promotional,SUB1475,Sent,2024-01-05
